hanja,hangul,source
枠,화,xetexko-hanja_hangul.tab
印,인,xetexko-hanja_hangul.tab
範,범,xetexko-hanja_hangul.tab
囲,위,xetexko-hanja_hangul.tab
連,연,xetexko-hanja_hangul.tab
加,가,xetexko-hanja_hangul.tab
性,성,xetexko-hanja_hangul.tab
効,효,xetexko-hanja_hangul.tab
得,득,xetexko-hanja_hangul.tab
低,저,xetexko-hanja_hangul.tab
済,제,xetexko-hanja_hangul.tab
艦,함,xetexko-hanja_hangul.tab
隊,대,xetexko-hanja_hangul.tab
礁,초,xetexko-hanja_hangul.tab
建,건,xetexko-hanja_hangul.tab
影,영,xetexko-hanja_hangul.tab
無,무,xetexko-hanja_hangul.tab
陸,육,xetexko-hanja_hangul.tab
燃,연,xetexko-hanja_hangul.tab
飛,비,xetexko-hanja_hangul.tab
爆,폭,xetexko-hanja_hangul.tab
巻,권,xetexko-hanja_hangul.tab
倒,도,xetexko-hanja_hangul.tab
破,파,xetexko-hanja_hangul.tab
墜,추,xetexko-hanja_hangul.tab
団,단,xetexko-hanja_hangul.tab
克,극,xetexko-hanja_hangul.tab
積,적,xetexko-hanja_hangul.tab
最,최,xetexko-hanja_hangul.tab
巨,거,xetexko-hanja_hangul.tab
防,방,xetexko-hanja_hangul.tab
御,어,xetexko-hanja_hangul.tab
試,시,xetexko-hanja_hangul.tab
構,구,xetexko-hanja_hangul.tab
抜,발,xetexko-hanja_hangul.tab
周,주,xetexko-hanja_hangul.tab
滅,멸,xetexko-hanja_hangul.tab
測,측,xetexko-hanja_hangul.tab
器,기,xetexko-hanja_hangul.tab
突,돌,xetexko-hanja_hangul.tab
射,사,xetexko-hanja_hangul.tab
士,사,xetexko-hanja_hangul.tab
虎,호,xetexko-hanja_hangul.tab
迎,영,xetexko-hanja_hangul.tab
奪,탈,xetexko-hanja_hangul.tab
格,격,xetexko-hanja_hangul.tab
禁,금,xetexko-hanja_hangul.tab
誰,수,xetexko-hanja_hangul.tab
旧,구,xetexko-hanja_hangul.tab
搭,탑,xetexko-hanja_hangul.tab
断,단,xetexko-hanja_hangul.tab
狙,저,xetexko-hanja_hangul.tab
視,시,xetexko-hanja_hangul.tab
